Page,Title,Authors,Year,Citations,Google Scholar Link
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Artificial intelligence-based learning recommendation system to promote critical and creative thinking on junior high school physics topics'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Sistem Informasi Transaksi Berbasis Web pada Koperasi Tri Dasi Caka Tunggal di Desa Pegadungan'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'SISTEM INFORMASI REKAPITULASI PENGELUARAN DANA BOS PADA SMP NEGERI 2 TEJAKULA'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'BUKU AJAR PEMROGRAMAN WEB'
2522,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Modern Database Management: Tren, Teknologi, dan Penerapan'"
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pemasaran Dan Teknologi'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Perekonomian Masyarakat Melalui Pembuatan Laklak Daun Kelor Di Desa Dencarik Kecamatan Banjar Kabupaten Buleleng'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Digital Diplomacy: The Influence of Social Media in Forming a Country's Image in the Era of Globalization'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pengembangan UMKM dan Digitalisasi'
2522,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Dampak Industri Kuliner Terhadap Pertumbuhan Ekonomi Lokal di Kabupaten Buleleng'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Perubahan Gaya Hidup Mahasiswa Akibat Adanya Online Shop'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'KELAYAKAN MUTU PRODUK JENIS SIR 20 BERDASARKAN TEKNIS SPESIFIKASI RUBBER DI  INDUSTRI PENGOLAHAN KARET PADA PT. BUKIT ANGKASA MAKMUR BENGKULU TENGAH'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PELATIHAN STRATEGI PEMASARAN DIGITAL DAN PENGELOLAAN KEUANGAN DIGITAL PADA UMKM SULTAN BAG'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Strategi Pengelolaan Keuangan Sederhana Berbasis Android Menggunakan Buku Kas'
2523,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Enhancing Sustainable Ecotourism in Banyuwangi - Indonesia: Lessons from Global Best Practices in Asia, Africa, and Latin America'"
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Perancangan Aplikasi Pengelolaan Keuangan Menggunakan Microsoft Access pada Peternakan UD Permata Jaya di Banyuwangi'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PROSES  PENGERINGAN KADAR KARET PRODUK CRUMB RUBBER YANG IDEAL TERHADAP EKSPOLITASI RENTANG WAKTU DAN TEMPERATUR DRYER'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Sistem Informasi Akutansi Arus Kas pada PT. Pusat Kreatif Indonesia'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Business Strategy For Tour And Travel Business Development Post Covid 19 In Bali Indonesia: Marketing And Swot Analysis Approach'
2523,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'MEMBANGUN SEMANGAT KERJA KARYAWAN LEMBAGA PENYIARAN: PENDEKATAN KEPEMIMPINAN DAN LINGKUNGAN KERJA (STUDI KASUS PADA TVRI BALI)'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Strategi dan Teknologi Media Sosial'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Socialization of filling in SINTA data: Improving lecturers' research and publication track records'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Buku Ajar Instrumentasi Laboratorium Medik'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Fabrication and Characterization of Pineapple Leaf Fiber (PALF) as Candidate of Composite Reinforcing Material'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Manifestasi Teori Komunikasi Sosial dalam Kampanye Sedekah Sampah untuk Mengatasi Krisis Iklim di Wilayah Pesisir Lombok Barat'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Antioxidant of Bulk Cooking Oil from Corn Cob Extract'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Erythrocyte Index Profile As An Indication of Anemia Based On Morphology In Patients (Tuberculosis) Undergoing Treatment'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Review of Security Factors for Medical Record Files in View of The Behavior of Officer at Puskesmas X Sampang Regency'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Analisis Faktor-Faktor yang Mempengaruhi Indeks Pembangunan Manusia Di Indonesia dengan Metode Regresi Linear Berganda'
2524,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Sosialisasi Pelayanan Informasi Obat disertai Pemeriksaan Kesehatan dan Pemberian Vitamin Gratis di Desa Telagawaru'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI PEMBELAJARAN SAVI UNTUK MENINGKATKAN KEMAMPUAN BERPIKIR KRITIS SISWA'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'The Role of The Community in Maintaining Environmental Sustainability Through The Development of The Batur Geopark as a Kintamani Tourism Attraction'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI PENDIDIKAN KARAKTER DALAM PEMBELAJARAN TEMATIK DI SEKOLAH DASAR TANTANGAN DAN STRATEGI GURU'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Exploring Language Learners' Engagement with Influencer Content for English Language Learning on Social Media Platforms'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Integration of Gastronomy into Geotourism to Instill Character Education in Preserving Traditional Culinary Arts in Food Beverage Product Students'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'The Role of Competitive Advantage in Mediating the Influence of Customer Relationship Marketing on Marketing Performance at Atanaya Kuta Bali'
2525,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'The Effect of Training and Competency on Employee Performance Through Employee Engagement as a Mediating Variable at the Tugu Canggu Hotel, Bali'"
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Segara Kerthi as The Foundation of Hospitality Education Strengthening Marine Environmental Awareness Among Students: Segara Kerthi Sebagai Fondasi Pendidikan Perhotelan …'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pemanfaatan Youtube sebagai Platform Kreatif dalam Pengembangan Bahan Ajar Berbasis Bahasa dan Ekologi'
2525,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Community Based Tourism Management at Geger Beach a Tourist Destination in Nusa Dua Bali'
2527,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Renang Gaya Bebas 50 Meter Ditinjau Dari Kekuatan Otot Lengan Atlet Garuda Laut Usia 10 Tahun'
